   ,Campaign_Name,Clicks,Impressions,Cost,Leads,Conversions,Conversion Rate,Sale_amount,Ad_Date,Location,Device,Keyword,CTR,CPC,Conversion Rate,Cost per conversion,Return on AD spend
A1709,Data Analytics Course,147,5014,$193.08,12,8,5.40%,"$1,017",11/11/2024,Hyderabad,Tablet,Online Data Analytics,2.93%,$1.31,5.44%,$24.14,5.27
A1710,Data Analytics Course,191,5855,$196.54,29,3,1.60%,"$1,085",21/11/2024,Hyderabad,Desktop,Data Analytics Course,3.26%,$1.03,1.57%,$65.51,5.52
A1711,Data Analytics Course,0,5916,$234.46,17,6,4.40%,"$1,982",11/2/2024,Hyderabad,Desktop,Data Analytics Course,0.00%,$0.00,0.00%,$39.08,8.45
A1712,Data Analytics Course,115,3952,$229.18,25,4,3.50%,"$1,440",20/11/2024,Hyderabad,Tablet,Online Data Analytics,2.91%,$1.99,3.48%,$57.30,6.28
A1713,Data Analytics Course,123,4208,$212.92,29,6,4.90%,"$1,184",11/5/2024,Hyderabad,Desktop,Learn Data Analytics,2.92%,$1.73,4.88%,$35.49,5.56
A1714,Data Analytics Course,121,5517,$222.14,16,7,0.00%,"$1,682",11/2/2024,Hyderabad,Tablet,Learn Data Analytics,2.19%,$1.84,5.79%,$31.73,7.57
A1715,Data Analytics Course,126,5460,$210.83,24,10,7.90%,"$1,326",14/11/2024,Hyderabad,Tablet,Online Data Analytics,2.31%,$1.67,7.94%,$21.08,6.29
A1716,Data Analytics Course,110,3159,$197.92,26,10,9.10%,"$1,608",18/11/2024,Hyderabad,Mobile,Data Analytics Online,3.48%,$1.80,9.09%,$19.79,8.12
A1717,Data Analytics Course,190,5545,$223.96,13,7,3.70%,"$1,344",14/11/2024,Hyderabad,Tablet,Analytics For Data,3.43%,$1.18,3.68%,$31.99,6.00
A1718,Data Analytics Course,148,3668,$245.79,15,10,6.80%,"$1,718",25/11/2024,Hyderabad,Desktop,Data Analytics Course,4.03%,$1.66,6.76%,$24.58,6.99
A1719,Data Analytics Course,86,5663,$231.79,19,10,11.60%,"$1,547",17/11/2024,Hyderabad,Mobile,Data Analytics Training,1.52%,$2.70,11.63%,$23.18,6.67
A1720,Data Analytics Course,172,3123,$216.67,15,0,0.00%,"$1,759",2/11/2024,Hyderabad,Desktop,Online Data Analytics,5.51%,$1.26,0.00%,$0.00,8.12
A1721,Data Analytics Course,143,5638,$229.41,23,4,5.80%,"$1,398",11/3/2024,Hyderabad,Desktop,Online Data Analytics,2.54%,$1.60,2.80%,$57.35,6.09
A1722,Data Analytics Course,172,4436,$232.16,21,7,4.10%,"$1,050",27/11/2024,Hyderabad,Mobile,Learn Data Analytics,3.88%,$1.35,4.07%,$33.17,4.52
A1723,Data Analytics Course,138,5555,$188.55,14,8,5.80%,"$1,593",24/11/2024,Hyderabad,Desktop,Data Analytics Training,2.48%,$1.37,5.80%,$23.57,8.45
A1724,Data Analytics Course,132,4972,$248.45,25,9,0.00%,"$1,126",19/11/2024,Hyderabad,Tablet,Data Analytics Online,2.65%,$1.88,6.82%,$27.61,4.53
A1725,Data Analytics Course,174,3231,$215.57,10,7,4.00%,"$1,128",11/12/2024,Hyderabad,Mobile,Data Analytics Course,5.39%,$1.24,4.02%,$30.80,5.23
A1726,Data Analytics Course,154,3461,$235.36,18,4,0.00%,"$1,212",18/11/2024,Hyderabad,Tablet,Data Analytics Online,4.45%,$1.53,2.60%,$58.84,5.15
A1727,Data Analytics Course,126,3423,$236.21,25,9,7.10%,"$1,106",20/11/2024,Hyderabad,Tablet,Data Analytics Training,3.68%,$1.87,7.14%,$26.25,4.68
A1728,Data Analytics Course,138,4025,$220.96,21,7,5.10%,"$1,416",24/11/2024,Hyderabad,Tablet,Data Analytics Online,3.43%,$1.60,5.07%,$31.57,6.41
A1729,Data Analytics Course,193,3800,$199.76,27,9,4.70%,"$1,393",17/11/2024,Hyderabad,Mobile,Data Analytics Course,5.08%,$1.04,4.66%,$22.20,6.97
A1730,Data Analytics Course,156,5293,$210.43,26,6,3.80%,"$1,449",28/11/2024,Hyderabad,Tablet,Data Analytics Course,2.95%,$1.35,3.85%,$35.07,6.89
A1731,Data Analytics Course,142,3565,$180.39,26,5,3.50%,"$1,147",11/1/2024,Hyderabad,Tablet,Data Analytics Training,3.98%,$1.27,3.52%,$36.08,6.36
A1732,Data Analytics Course,92,4296,$239.12,11,10,0.00%,"$1,169",11/2/2024,Hyderabad,Tablet,Data Analytics Training,2.14%,$2.60,10.87%,$23.91,4.89
A1733,Data Analytics Course,190,3567,$249.26,0,7,5.70%,"$1,517",26/11/2024,Hyderabad,Desktop,Data Analytics Online,5.33%,$1.31,3.68%,$35.61,6.09
A1734,Data Analytics Course,134,4854,$198.93,21,8,6.00%,"$1,101",3/11/2024,Hyderabad,Desktop,Analytics For Data,2.76%,$1.48,5.97%,$24.87,5.53
A1735,Data Analytics Course,144,4518.5,$186.47,29,8,5.60%,"$1,437",29/11/2024,Hyderabad,Mobile,Data Analytics Course,3.19%,$1.29,5.56%,$23.31,7.71
A1736,Data Analytics Course,117,4630,$196.66,15,8,0.00%,"$1,361",17/11/2024,Hyderabad,Desktop,Online Data Analytics,2.53%,$1.68,6.84%,$24.58,6.92
A1737,Data Analytics Course,160,3448,$210.38,19,7,4.40%,"$1,705",14/11/2024,Hyderabad,Desktop,Data Analytics Course,4.64%,$1.31,4.38%,$30.05,8.10
A1738,Data Analytics Course,146,5297,$198.89,30,8,5.50%,"$2,000",11/2/2024,Hyderabad,Desktop,Data Analytics Training,2.76%,$1.36,5.48%,$24.86,10.06
A1739,Data Analytics Course,175,3818,$190.89,30,10,3.90%,"$1,088",11/10/2024,Hyderabad,Tablet,Data Analytics Online,4.58%,$1.09,5.71%,$19.09,5.70
A1740,Data Analytics Course,122,4791,$223.16,12,4,3.30%,"$1,246",5/11/2024,Hyderabad,Tablet,Learn Data Analytics,2.55%,$1.83,3.28%,$55.79,5.58
A1741,Data Analytics Course,85,3713,$225.74,23,5,4.70%,"$1,867",24/11/2024,Hyderabad,Tablet,Data Analytics Online,2.29%,$2.66,5.88%,$45.15,8.27
A1742,Data Analytics Course,167,3634,$202.75,30,10,6.00%,"$1,503",23/11/2024,Hyderabad,Desktop,Data Analytics Training,4.60%,$1.21,5.99%,$20.28,7.41
A1743,Data Analytics Course,158,3025,$180.50,24,9,0.00%,"$1,725",26/11/2024,Hyderabad,Tablet,Data Analytics Training,5.22%,$1.14,5.70%,$20.06,9.56
A1744,Data Analytics Course,176,5868,$184.46,0,4,2.30%,"$1,229",20/11/2024,Hyderabad,Desktop,Data Analytics Course,3.00%,$1.05,2.27%,$46.12,6.66
A1745,Data Analytics Course,111,3050,$208.87,10,7,6.30%,"$1,774",26/11/2024,Hyderabad,Tablet,Analytics For Data,3.64%,$1.88,6.31%,$29.84,8.49
A1746,Data Analytics Course,186,5301,$215.57,14,9,0.00%,"$1,230",17/11/2024,Hyderabad,Desktop,Learn Data Analytics,3.51%,$1.16,4.84%,$23.95,5.71
A1747,Data Analytics Course,177,3042,$239.64,26,4,2.30%,"$1,646",20/11/2024,Hyderabad,Mobile,Data Analytics Course,5.82%,$1.35,2.26%,$59.91,6.87
A1748,Data Analytics Course,150,5272,$239.06,13,9,6.00%,"$1,232",1/11/2024,Hyderabad,Desktop,Online Data Analytics,2.85%,$1.59,6.00%,$26.56,5.15
A1749,Data Analytics Course,160,4279,$191.56,22,10,3.90%,"$1,234",12/11/2024,Hyderabad,Mobile,Data Analytics Course,3.74%,$1.20,6.25%,$19.16,6.44
A1750,Data Analytics Course,147,5659,$188.07,22,4,4.50%,"$1,796",25/11/2024,Hyderabad,Mobile,Analytics For Data,2.60%,$1.28,2.72%,$47.02,9.55
A1751,Data Analytics Course,198,4816,$224.96,21,4,4.20%,"$1,601",5/11/2024,Hyderabad,Mobile,Online Data Analytics,4.11%,$1.14,2.02%,$56.24,7.12
A1752,Data Analytics Course,145,3874,$215.57,10,10,6.90%,"$1,153",30/11/2024,Hyderabad,Mobile,Data Analytics Training,3.74%,$1.49,6.90%,$21.56,5.35
A1753,Data Analytics Course,94,5221,$225.23,17,3,3.60%,"$1,209",19/11/2024,Hyderabad,Tablet,Learn Data Analytics,1.80%,$2.40,3.19%,$75.08,5.37
A1754,Data Analytics Course,90,5859,$187.29,17,5,5.60%,"$1,375",16/11/2024,Hyderabad,Mobile,Analytics For Data,1.54%,$2.08,5.56%,$37.46,7.34
A1755,Data Analytics Course,182,5055,$232.64,26,8,3.60%,"$1,815",10/11/2024,Hyderabad,Mobile,Data Analytics Training,3.60%,$1.28,4.40%,$29.08,7.80
A1756,Data Analytics Course,0,4373,$199.32,16,5,0.00%,"$1,150",11/2/2024,Hyderabad,Desktop,Data Analytics Training,0.00%,$0.00,0.00%,$39.86,5.77
A1757,Data Analytics Course,0,4518.5,$234.85,11,8,0.00%,"$1,398",11/4/2024,Hyderabad,Desktop,Data Analytics Training,0.00%,$0.00,0.00%,$29.36,5.95
A1758,Data Analytics Course,103,3547,$232.35,11,8,7.80%,"$1,663",26/11/2024,Hyderabad,Tablet,Learn Data Analytics,2.90%,$2.26,7.77%,$29.04,7.16
A1759,Data Analytics Course,148,3128,$197.02,27,9,6.10%,"$1,214",11/12/2024,Hyderabad,Tablet,Data Analytics Training,4.73%,$1.33,6.08%,$21.89,6.16
A1760,Data Analytics Course,151,5201,$198.56,15,10,6.60%,"$1,716",11/5/2024,Hyderabad,Tablet,Data Analytics Training,2.90%,$1.31,6.62%,$19.86,8.64
A1761,Data Analytics Course,148,5510,$210.42,27,4,4.80%,"$1,352",11/6/2024,Hyderabad,Mobile,Learn Data Analytics,2.69%,$1.42,2.70%,$52.61,6.43
A1762,Data Analytics Course,103,5628,$195.60,24,8,3.40%,"$1,065",11/9/2024,Hyderabad,Mobile,Analytics For Data,1.83%,$1.90,7.77%,$24.45,5.44
A1763,Data Analytics Course,115,5445,$183.55,21,7,5.90%,"$1,721",11/7/2024,Hyderabad,Tablet,Data Analytics Course,2.11%,$1.60,6.09%,$26.22,9.38
A1764,Data Analytics Course,160,5936,$239.87,29,4,0.00%,"$1,320",24/11/2024,Hyderabad,Mobile,Analytics For Data,2.70%,$1.50,2.50%,$59.97,5.50
A1765,Data Analytics Course,166,5808,$194.79,14,8,4.80%,"$1,799",14/11/2024,Hyderabad,Tablet,Data Analytics Training,2.86%,$1.17,4.82%,$24.35,9.24
A1766,Data Analytics Course,187,3282,$234.91,10,7,4.10%,"$1,525",29/11/2024,Hyderabad,Mobile,Online Data Analytics,5.70%,$1.26,3.74%,$33.56,6.49
A1768,Data Analytics Course,172,5546,$241.81,24,10,5.80%,"$1,681",11/3/2024,Hyderabad,Desktop,Learn Data Analytics,3.10%,$1.41,5.81%,$24.18,6.95
A1769,Data Analytics Course,187,5734,$187.44,10,8,4.30%,"$1,183",23/11/2024,Hyderabad,Tablet,Analytics For Data,3.26%,$1.00,4.28%,$23.43,6.31
A1770,Data Analytics Course,196,4964,$249.47,26,9,4.60%,"$1,996",19/11/2024,Hyderabad,Mobile,Learn Data Analytics,3.95%,$1.27,4.59%,$27.72,8.00
A1772,Data Analytics Course,103,5244,$205.90,22,7,3.20%,"$1,954",16/11/2024,Hyderabad,Mobile,Analytics For Data,1.96%,$2.00,6.80%,$29.41,9.49
A1773,Data Analytics Course,114,3064,$196.01,23,6,5.30%,"$1,348",30/11/2024,Hyderabad,Mobile,Learn Data Analytics,3.72%,$1.72,5.26%,$32.67,6.88
A1774,Data Analytics Course,116,3265,$199.21,24,10,8.60%,"$1,006",21/11/2024,Hyderabad,Mobile,Learn Data Analytics,3.55%,$1.72,8.62%,$19.92,5.05
A1775,Data Analytics Course,164,5351,$217.90,10,9,5.50%,"$1,431",11/12/2024,Hyderabad,Tablet,Online Data Analytics,3.06%,$1.33,5.49%,$24.21,6.57
A1776,Data Analytics Course,160,5830,$215.57,15,10,6.20%,"$1,270",26/11/2024,Hyderabad,Mobile,Online Data Analytics,2.74%,$1.35,6.25%,$21.56,5.89
A1777,Data Analytics Course,112,4808,$221.57,17,7,6.20%,"$1,186",25/11/2024,Hyderabad,Desktop,Data Analytics Online,2.33%,$1.98,6.25%,$31.65,5.35
A1778,Data Analytics Course,87,5506,$188.77,11,5,0.00%,"$1,774",22/11/2024,Hyderabad,Mobile,Learn Data Analytics,1.58%,$2.17,5.75%,$37.75,9.40
A1779,Data Analytics Course,0,4798,$198.45,20,10,0.00%,"$1,937",14/11/2024,Hyderabad,Mobile,Data Analytics Training,0.00%,$0.00,0.00%,$19.85,9.76
A1780,Data Analytics Course,139,5763,$214.49,15,5,4.50%,"$1,781",11/1/2024,Hyderabad,Desktop,Data Analytics Online,2.41%,$1.54,3.60%,$42.90,8.30
A1781,Data Analytics Course,193,3271,$187.76,30,9,5.30%,"$1,209",13/11/2024,Hyderabad,Tablet,Online Data Analytics,5.90%,$0.97,4.66%,$20.86,6.44
A1782,Data Analytics Course,151,4402,$248.65,21,4,0.00%,"$1,722",19/11/2024,Hyderabad,Desktop,Data Analytics Online,3.43%,$1.65,2.65%,$62.16,6.93
A1783,Data Analytics Course,90,4281,$216.36,24,4,0.00%,"$1,768",11/4/2024,Hyderabad,Mobile,Learn Data Analytics,2.10%,$2.40,4.44%,$54.09,8.17
A1784,Data Analytics Course,169,4480,$215.57,11,10,5.90%,"$1,769",28/11/2024,Hyderabad,Tablet,Online Data Analytics,3.77%,$1.28,5.92%,$21.56,8.21
A1785,Data Analytics Course,197,4373,$218.30,18,9,5.90%,"$1,988",14/11/2024,Hyderabad,Desktop,Learn Data Analytics,4.50%,$1.11,4.57%,$24.26,9.11
A1786,Data Analytics Course,132,4518.5,$219.44,17,3,5.50%,"$1,949",24/11/2024,Hyderabad,Desktop,Learn Data Analytics,2.92%,$1.66,2.27%,$73.15,8.88
A1787,Data Analytics Course,96,5503,$243.51,11,6,6.20%,"$1,687",11/2/2024,Hyderabad,Desktop,Data Analytics Online,1.74%,$2.54,6.25%,$40.59,6.93
A1788,Data Analytics Course,160,4154,$230.16,15,6,0.00%,"$1,667",16/11/2024,Hyderabad,Mobile,Online Data Analytics,3.85%,$1.44,3.75%,$38.36,7.24
A1789,Data Analytics Course,162,5161,$240.72,16,7,0.00%,"$1,649",15/11/2024,Hyderabad,Tablet,Learn Data Analytics,3.14%,$1.49,4.32%,$34.39,6.85
A1790,Data Analytics Course,171,5517,$233.86,23,5,2.90%,"$1,349",24/11/2024,Hyderabad,Tablet,Data Analytics Course,3.10%,$1.37,2.92%,$46.77,5.77
A1791,Data Analytics Course,110,4161,$204.28,16,10,0.00%,"$1,447",14/11/2024,Hyderabad,Mobile,Data Analytics Online,2.64%,$1.86,9.09%,$20.43,7.08
A1792,Data Analytics Course,103,5332,$243.72,16,3,2.90%,"$1,882",28/11/2024,Hyderabad,Desktop,Online Data Analytics,1.93%,$2.37,2.91%,$81.24,7.72
A1793,Data Analytics Course,167,3620,$243.81,24,8,5.30%,"$1,001",11/5/2024,Hyderabad,Desktop,Data Analytics Course,4.61%,$1.46,4.79%,$30.48,4.11
A1794,Data Analytics Course,132,4117,$239.04,28,3,2.30%,"$1,761",11/7/2024,Hyderabad,Mobile,Analytics For Data,3.21%,$1.81,2.27%,$79.68,7.37
A1795,Data Analytics Course,145,5400,$219.89,29,3,0.00%,"$1,152",20/11/2024,Hyderabad,Tablet,Data Analytics Course,2.69%,$1.52,2.07%,$73.30,5.24
A1796,Data Analytics Course,140,5220,$183.39,25,8,5.70%,"$1,918",11/11/2024,Hyderabad,Desktop,Learn Data Analytics,2.68%,$1.31,5.71%,$22.92,10.46
A1797,Data Analytics Course,122,4518.5,$217.66,25,10,5.30%,"$1,799",26/11/2024,Hyderabad,Tablet,Data Analytics Online,2.70%,$1.78,8.20%,$21.77,8.27
A1798,Data Analytics Course,87,4081,$180.63,20,4,4.60%,"$1,665",11/8/2024,Hyderabad,Tablet,Data Analytics Online,2.13%,$2.08,4.60%,$45.16,9.22
A1799,Data Analytics Course,141,4239,$199.82,15,5,3.50%,"$1,639",27/11/2024,Hyderabad,Mobile,Data Analytics Training,3.33%,$1.42,3.55%,$39.96,8.20
A1800,Data Analytics Course,157,3367,$248.90,0,8,5.10%,"$1,470",30/11/2024,Hyderabad,Tablet,Data Analytics Training,4.66%,$1.59,5.10%,$31.11,5.91
A1801,Data Analytics Course,95,5721,$208.53,16,6,6.30%,"$1,863",11/5/2024,Hyderabad,Mobile,Data Analytics Course,1.66%,$2.20,6.32%,$34.76,8.93
A1802,Data Analytics Course,160,5166,$210.21,20,7,4.40%,"$1,850",21/11/2024,Hyderabad,Desktop,Data Analytics Course,3.10%,$1.31,4.38%,$30.03,8.80
A1803,Data Analytics Course,133,5430,$217.34,16,6,4.50%,"$1,199",14/11/2024,Hyderabad,Mobile,Data Analytics Online,2.45%,$1.63,4.51%,$36.22,5.52
A1804,Data Analytics Course,154,3452,$215.61,21,7,5.80%,"$1,631",11/2/2024,Hyderabad,Mobile,Analytics For Data,4.46%,$1.40,4.55%,$30.80,7.56
A1805,Data Analytics Course,188,4518.5,$220.11,13,4,2.10%,"$1,262",29/11/2024,Hyderabad,Tablet,Data Analytics Online,4.16%,$1.17,2.13%,$55.03,5.73
A1806,Data Analytics Course,186,5073,$233.58,15,4,0.00%,"$1,965",11/4/2024,Hyderabad,Tablet,Online Data Analytics,3.67%,$1.26,2.15%,$58.40,8.41
A1807,Data Analytics Course,101,5757,$249.33,25,9,3.50%,"$1,129",11/1/2024,Hyderabad,Mobile,Learn Data Analytics,1.75%,$2.47,8.91%,$27.70,4.53
A1808,Data Analytics Course,150,3323,$227.55,14,4,2.70%,"$1,931",18/11/2024,Hyderabad,Mobile,Data Analytics Course,4.51%,$1.52,2.67%,$56.89,8.49
A1809,Data Analytics Course,127,5417,$229.06,26,8,6.30%,"$1,086",21/11/2024,Hyderabad,Tablet,Learn Data Analytics,2.34%,$1.80,6.30%,$28.63,4.74
A1810,Data Analytics Course,117,5445,$213.90,10,5,4.30%,"$1,804",19/11/2024,Hyderabad,Desktop,Data Analytics Course,2.15%,$1.83,4.27%,$42.78,8.43
A1811,Data Analytics Course,152,5173,$230.47,15,5,3.60%,"$1,779",26/11/2024,Hyderabad,Desktop,Learn Data Analytics,2.94%,$1.52,3.29%,$46.09,7.72
A1812,Data Analytics Course,87,3643,$220.76,27,7,0.00%,"$1,393",11/3/2024,Hyderabad,Desktop,Data Analytics Online,2.39%,$2.54,8.05%,$31.54,6.31
A1813,Data Analytics Course,181,3863,$180.12,17,7,3.50%,"$1,892",28/11/2024,Hyderabad,Desktop,Data Analytics Course,4.69%,$1.00,3.87%,$25.73,10.50
A1815,Data Analytics Course,173,5463,$232.38,17,5,2.90%,"$1,568",26/11/2024,Hyderabad,Desktop,Analytics For Data,3.17%,$1.34,2.89%,$46.48,6.75
A1816,Data Analytics Course,123,3459,$211.88,21,4,3.30%,"$1,223",24/11/2024,Hyderabad,Tablet,Learn Data Analytics,3.56%,$1.72,3.25%,$52.97,5.77
A1817,Data Analytics Course,162,3906,$237.24,13,5,3.30%,"$1,062",11/10/2024,Hyderabad,Desktop,Data Analytics Training,4.15%,$1.46,3.09%,$47.45,4.48
A1818,Data Analytics Course,135,4645,$182.94,12,0,0.00%,"$1,927",30/11/2024,Hyderabad,Desktop,Online Data Analytics,2.91%,$1.36,0.00%,$0.00,10.53
A1819,Data Analytics Course,169,3317,$232.35,29,3,4.90%,"$1,988",24/11/2024,Hyderabad,Mobile,Data Analytics Training,5.09%,$1.37,1.78%,$77.45,8.56
A1820,Data Analytics Course,120,3235,$220.67,11,4,0.00%,"$1,890",17/11/2024,Hyderabad,Mobile,Learn Data Analytics,3.71%,$1.84,3.33%,$55.17,8.56
A1821,Data Analytics Course,0,4823,$234.73,30,5,0.00%,"$1,361",25/11/2024,Hyderabad,Mobile,Data Analytics Training,0.00%,$0.00,0.00%,$46.95,5.80
A1822,Data Analytics Course,167,4403,$189.36,25,4,3.00%,"$1,572",6/11/2024,Hyderabad,Desktop,Learn Data Analytics,3.79%,$1.13,2.40%,$47.34,8.30
A1823,Data Analytics Course,101,3530,$184.83,22,5,0.00%,"$1,802",13/11/2024,Hyderabad,Mobile,Learn Data Analytics,2.86%,$1.83,4.95%,$36.97,9.75
A1824,Data Analytics Course,129,4679,$239.21,19,3,2.30%,"$1,215",11/4/2024,Hyderabad,Mobile,Data Analytics Online,2.76%,$1.85,2.33%,$79.74,5.08
A1825,Data Analytics Course,153,5396,$233.79,13,8,0.00%,"$1,571",1/11/2024,Hyderabad,Mobile,Data Analytics Training,2.84%,$1.53,5.23%,$29.22,6.72
A1826,Data Analytics Course,0,3976,$248.65,16,4,0.00%,"$1,160",15/11/2024,Hyderabad,Mobile,Data Analytics Training,0.00%,$0.00,0.00%,$62.16,4.67
A1827,Data Analytics Course,108,5545,$209.82,11,8,7.40%,"$1,491",11/8/2024,Hyderabad,Mobile,Analytics For Data,1.95%,$1.94,7.41%,$26.23,7.11
A1828,Data Analytics Course,85,4772,$211.62,15,10,11.80%,"$1,669",19/11/2024,Hyderabad,Mobile,Learn Data Analytics,1.78%,$2.49,11.76%,$21.16,7.89
A1829,Data Analytics Course,109,4941,$242.54,18,9,8.30%,"$1,278",11/11/2024,Hyderabad,Desktop,Data Analytics Training,2.21%,$2.23,8.26%,$26.95,5.27
A1831,Data Analytics Course,143,5526,$185.94,15,8,5.60%,"$1,712",25/11/2024,Hyderabad,Desktop,Analytics For Data,2.59%,$1.30,5.59%,$23.24,9.21
A1832,Data Analytics Course,161,5302,$184.29,13,8,3.60%,"$1,703",30/11/2024,Hyderabad,Tablet,Learn Data Analytics,3.04%,$1.14,4.97%,$23.04,9.24
A1833,Data Analytics Course,146,4424,$196.88,20,3,2.10%,"$1,757",30/11/2024,Hyderabad,Tablet,Online Data Analytics,3.30%,$1.35,2.05%,$65.63,8.92
A1834,Data Analytics Course,82,5971,$235.52,14,8,9.80%,"$1,568",6/11/2024,Hyderabad,Mobile,Learn Data Analytics,1.37%,$2.87,9.76%,$29.44,6.66
A1835,Data Analytics Course,88,3733,$244.35,12,8,9.10%,"$1,622",27/11/2024,Hyderabad,Mobile,Online Data Analytics,2.36%,$2.78,9.09%,$30.54,6.64
A1836,Data Analytics Course,127,4403,$244.30,15,7,5.50%,"$1,832",22/11/2024,Hyderabad,Tablet,Data Analytics Course,2.88%,$1.92,5.51%,$34.90,7.50
A1837,Data Analytics Course,179,5118,$189.59,15,6,3.40%,"$1,892",28/11/2024,Hyderabad,Tablet,Data Analytics Course,3.50%,$1.06,3.35%,$31.60,9.98
A1838,Data Analytics Course,199,4407,$240.05,21,9,4.50%,"$1,054",13/11/2024,Hyderabad,Desktop,Data Analytics Online,4.52%,$1.21,4.52%,$26.67,4.39
A1840,Data Analytics Course,99,4880,$245.13,25,8,0.00%,"$1,236",19/11/2024,Hyderabad,Tablet,Data Analytics Course,2.03%,$2.48,8.08%,$30.64,5.04
A1841,Data Analytics Course,122,5774,$224.40,23,10,0.00%,"$1,330",14/11/2024,Hyderabad,Mobile,Learn Data Analytics,2.11%,$1.84,8.20%,$22.44,5.93
A1842,Data Analytics Course,178,4103,$207.23,17,8,4.50%,"$1,612",15/11/2024,Hyderabad,Mobile,Analytics For Data,4.34%,$1.16,4.49%,$25.90,7.78
A1843,Data Analytics Course,157,4414,$240.57,17,9,5.70%,"$1,483",27/11/2024,Hyderabad,Desktop,Learn Data Analytics,3.56%,$1.53,5.73%,$26.73,6.16
A1845,Data Analytics Course,192,3320,$208.09,17,3,1.60%,"$1,169",18/11/2024,Hyderabad,Mobile,Data Analytics Training,5.78%,$1.08,1.56%,$69.36,5.62
A1846,Data Analytics Course,144,4146,$246.10,18,10,6.90%,"$1,074",15/11/2024,Hyderabad,Desktop,Analytics For Data,3.47%,$1.71,6.94%,$24.61,4.36
A1847,Data Analytics Course,147,4720,$227.60,23,8,0.00%,"$1,907",11/5/2024,Hyderabad,Tablet,Online Data Analytics,3.11%,$1.55,5.44%,$28.45,8.38
A1848,Data Analytics Course,121,3557,$237.03,16,7,0.00%,"$1,255",25/11/2024,Hyderabad,Mobile,Data Analytics Online,3.40%,$1.96,5.79%,$33.86,5.29
A1849,Data Analytics Course,193,5899,$227.24,12,9,4.20%,"$1,832",2/11/2024,Hyderabad,Desktop,Analytics For Data,3.27%,$1.18,4.66%,$25.25,8.06
A1850,Data Analytics Course,170,4968,$216.78,21,5,4.50%,"$1,997",24/11/2024,Hyderabad,Tablet,Data Analytics Course,3.42%,$1.28,2.94%,$43.36,9.21
A1852,Data Analytics Course,133,4078,$189.42,21,6,4.50%,"$1,969",21/11/2024,Hyderabad,Desktop,Data Analytics Online,3.26%,$1.42,4.51%,$31.57,10.39
A1853,Data Analytics Course,82,4163,$208.08,30,8,9.80%,"$1,297",11/4/2024,Hyderabad,Mobile,Data Analytics Course,1.97%,$2.54,9.76%,$26.01,6.23
A1854,Data Analytics Course,90,4330,$249.24,20,4,4.40%,"$1,618",15/11/2024,Hyderabad,Tablet,Data Analytics Training,2.08%,$2.77,4.44%,$62.31,6.49
A1855,Data Analytics Course,122,5882,$189.76,25,7,5.70%,"$1,357",25/11/2024,Hyderabad,Tablet,Analytics For Data,2.07%,$1.56,5.74%,$27.11,7.15
A1856,Data Analytics Course,105,5645,$218.24,17,6,0.00%,"$1,420",11/2/2024,Hyderabad,Mobile,Online Data Analytics,1.86%,$2.08,5.71%,$36.37,6.51
A1857,Data Analytics Course,179,3848,$213.26,12,5,0.00%,"$1,807",29/11/2024,Hyderabad,Desktop,Data Analytics Course,4.65%,$1.19,2.79%,$42.65,8.47
A1858,Data Analytics Course,91,5609,$228.27,12,10,11.00%,"$1,098",11/11/2024,Hyderabad,Desktop,Analytics For Data,1.62%,$2.51,10.99%,$22.83,4.81
A1859,Data Analytics Course,168,4390,$195.52,22,10,6.00%,"$1,553",11/4/2024,Hyderabad,Desktop,Data Analytics Course,3.83%,$1.16,5.95%,$19.55,7.94
A1860,Data Analytics Course,162,4774,$210.80,20,7,4.30%,"$1,387",29/11/2024,Hyderabad,Tablet,Analytics For Data,3.39%,$1.30,4.32%,$30.11,6.58
A1861,Data Analytics Course,130,5787,$218.79,13,10,7.70%,"$1,679",11/9/2024,Hyderabad,Mobile,Online Data Analytics,2.25%,$1.68,7.69%,$21.88,7.67
A1862,Data Analytics Course,97,5192,$184.79,13,10,0.00%,"$1,382",11/5/2024,Hyderabad,Mobile,Learn Data Analytics,1.87%,$1.91,10.31%,$18.48,7.48
A1863,Data Analytics Course,142,4223,$222.28,27,5,3.80%,"$1,506",11/7/2024,Hyderabad,Desktop,Learn Data Analytics,3.36%,$1.57,3.52%,$44.46,6.78
A1865,Data Analytics Course,186,3988,$237.69,15,5,2.70%,"$1,603",14/11/2024,Hyderabad,Tablet,Data Analytics Course,4.66%,$1.28,2.69%,$47.54,6.74
A1866,Data Analytics Course,170,3437,$232.08,23,5,2.90%,"$1,405",29/11/2024,Hyderabad,Mobile,Learn Data Analytics,4.95%,$1.37,2.94%,$46.42,6.05
A1867,Data Analytics Course,85,3718,$224.14,21,6,7.10%,"$1,938",11/4/2024,Hyderabad,Desktop,Online Data Analytics,2.29%,$2.64,7.06%,$37.36,8.65
A1868,Data Analytics Course,115,5343,$239.92,20,8,0.00%,"$1,381",15/11/2024,Hyderabad,Desktop,Learn Data Analytics,2.15%,$2.09,6.96%,$29.99,5.76
A1869,Data Analytics Course,167,5170,$241.21,24,4,3.80%,"$1,515",21/11/2024,Hyderabad,Mobile,Data Analytics Course,3.23%,$1.44,2.40%,$60.30,6.28
A1870,Data Analytics Course,113,5916,$234.58,18,5,4.40%,"$1,165",11/12/2024,Hyderabad,Mobile,Data Analytics Course,1.91%,$2.08,4.42%,$46.92,4.97
